sedalea,sedaleaname,year,fips,stateabb,multi_comp,subcat,subgroup,gap,gradecenter,tot_asmts,cellcount,mn_asmts,flag_estasmt,cs_mn_avg_ol,cs_mn_avg_ol_se,cs_mn_avg_ol_se_adj,cs_mn_avg_eb,cs_mn_avg_eb_se,cs_mn_avg_eb_se_adj
5503750,Dover #1 School District,2018,55,WI,0,gender,fem,0,5.5,78,12,6.5,0,.1963286014395015,.0868891993990717,.0875778725561664,.1996176839776058,.0365000018722107,.0380799456418433
5503750,Dover #1 School District,2018,55,WI,0,gender,mal,0,5.5,54,12,4.5,0,.2678756942380327,.0990835730125933,.0996880395543738,.1592499179485982,.0364583421280857,.0380400162216435
5503750,Dover #1 School District,2018,55,WI,0,gender,mfg,1,5.5,132,12,11,0,.0715470927985312,.131785004507924,.131785004507924,-.0403677660290076,.005408385224886,.005408385224886
5503750,Dover #1 School District,2018,55,WI,0,ecd,nec,0,5.5,94,12,7.833333333333333,0,.2022581060560475,.082446750576073,.0831722157322124,.2560736084090293,.0404743098728462,.0419046761483433
5503750,Dover #1 School District,2018,55,WI,0,race,wht,0,5.5,110,12,9.166666666666666,0,.2623899369539371,.0794416925750685,.0801943471102806,.2641099745007068,.0363107690835596,.0378986025448689
5503810,Drummond Area School District,2018,55,WI,0,all,all,0,5.5,320,12,26.66666666666667,0,.0505157454286482,.0578897457044593,.0589183625619335,.0986800563127556,.0337732467930192,.0354748406952946
5503810,Drummond Area School District,2018,55,WI,0,ecd,ecd,0,5.5,174,12,14.5,0,-.1609511309171026,.0763568160108683,.0771395757090359,-.0581092104648843,.0374384281413139,.0389803543481415
5503810,Drummond Area School District,2018,55,WI,0,gender,fem,0,5.5,176,12,14.66666666666667,0,.0885582377535084,.0770799331672153,.077855422973065,.191199511168252,.0340111305110875,.0357013882371061
5503810,Drummond Area School District,2018,55,WI,0,gender,mal,0,5.5,116,10,11.6,0,.0177877421017863,.0961146296384493,.0967376494431654,.0252527953870513,.0339663633605343,.0356587431544383
5503810,Drummond Area School District,2018,55,WI,0,gender,mfg,1,5.5,292,10,29.2,0,-.070770495651722,.1232044566060767,.1232044566060767,-.1659467157812007,.0054042983538765,.0054042983538765
5503810,Drummond Area School District,2018,55,WI,0,ecd,nec,0,5.5,98,8,12.25,0,.4847654931937797,.1279906049500092,.128459120909034,.3168196036482246,.0387789431186633,.0402695735365409
5503810,Drummond Area School District,2018,55,WI,0,ecd,neg,1,5.5,272,8,34,0,.6457166241108823,.149036768304962,.149036768304962,.374928814113109,.0249835532542609,.0249835532542609
5503810,Drummond Area School District,2018,55,WI,0,race,wht,0,5.5,278,12,23.16666666666667,0,.0836329385528298,.0621381487624912,.063097546076547,.1143108675009856,.0338075332851275,.0355074841440414
5503840,Durand-Arkansaw School District,2018,55,WI,0,all,all,0,5.5,760,12,63.33333333333334,0,.3252778647761667,.0391879519312564,.0406920921779521,.2773837736779449,.0283007005945636,.0303110834111465
5503840,Durand-Arkansaw School District,2018,55,WI,0,ecd,ecd,0,5.5,346,12,28.83333333333333,0,.0794094983649384,.0572971366420683,.0583362036528975,.0113007271432783,.0324272640491145,.0341959000046109
5503840,Durand-Arkansaw School District,2018,55,WI,0,gender,fem,0,5.5,344,12,28.66666666666667,0,.2904294740448071,.0569585629636707,.0580036954351956,.2578192572483932,.0285828849045318,.03057471885202
5503840,Durand-Arkansaw School District,2018,55,WI,0,race,hsp,0,5.5,44,12,3.666666666666667,0,-.3309434105327449,.1560210531903838,.1564056259470517,-.3091091114872572,.0284242619052456,.0304264816939513
5503840,Durand-Arkansaw School District,2018,55,WI,0,gender,mal,0,5.5,416,12,34.66666666666666,0,.3554426998191096,.0525626368577296,.0536934035305087,.2987093467739675,.0285282474114121,.0305236469606941
5503840,Durand-Arkansaw School District,2018,55,WI,0,gender,mfg,1,5.5,760,12,63.33333333333334,0,.0650132257743026,.0775055397266801,.0775055397266801,.0408900895255744,.0053835770214786,.0053835770214786
5503840,Durand-Arkansaw School District,2018,55,WI,0,ecd,nec,0,5.5,414,12,34.5,0,.5341825913302225,.0505450681874749,.0517199643013118,.470182509892543,.0332243383128312,.0349526648446125
5503840,Durand-Arkansaw School District,2018,55,WI,0,ecd,neg,1,5.5,760,12,63.33333333333334,0,.4547730929652841,.076405273283042,.076405273283042,.4588817827492647,.0235271078067448,.0235271078067448
5503840,Durand-Arkansaw School District,2018,55,WI,0,race,whg,1,5.5,730,12,60.83333333333334,0,.7006454454297695,.1612040708317883,.1612040708317883,.6160460170854076,.0030016499567963,.0030016499567963
5503840,Durand-Arkansaw School District,2018,55,WI,0,race,wht,0,5.5,686,12,57.16666666666666,0,.3697020348970246,.0405485315899807,.042003978422956,.3069369055981503,.0283360291129755,.030344071402924
5503860,Northland Pines School District,2018,55,WI,0,all,all,0,5.5,1157,12,96.41666666666667,0,.1243820472748376,.0294012789679777,.0313781132990072,.1323216461672594,.023526418719492,.0259099305514163
5503860,Northland Pines School District,2018,55,WI,0,ecd,ecd,0,5.5,570,12,47.5,0,-.1315229702041725,.042138830768037,.0435411511991787,-.1096404378529103,.0278035137141945,.0298474035431854
5503860,Northland Pines School District,2018,55,WI,0,gender,fem,0,5.5,510,12,42.5,0,.1281956006258509,.0439785760339643,.045324010626021,.1400578945411307,.0238631166492246,.0262160343993682
5503860,Northland Pines School District,2018,55,WI,0,race,hsp,0,5.5,50,12,4.166666666666667,0,-.3068082256371617,.1296569437651871,.1301194599427057,-.1846155607437755,.0236748759622734,.0260448051488849
5503860,Northland Pines School District,2018,55,WI,0,gender,mal,0,5.5,647,12,53.91666666666666,0,.1175668050087286,.039853687014184,.0413336080916852,.1359646750813679,.0237956437687348,.0261546322050776
5503860,Northland Pines School District,2018,55,WI,0,gender,mfg,1,5.5,1157,12,96.41666666666667,0,-.0106287956171223,.059350075978045,.059350075978045,-.0040932194597628,.0053568874407905,.0053568874407905
5503860,Northland Pines School District,2018,55,WI,0,ecd,nec,0,5.5,543,11,49.36363636363637,0,.3822460464357454,.0423899082335207,.0437841878912786,.3467453698794524,.0288969507347076,.0308685258018336
5503860,Northland Pines School District,2018,55,WI,0,ecd,neg,1,5.5,1113,11,101.1818181818182,0,.5137690166399179,.0597711082258273,.0597711082258273,.4563858077323626,.0223849141407733,.0223849141407733
5503860,Northland Pines School District,2018,55,WI,0,race,whg,1,5.5,1067,12,88.91666666666667,0,.4686201900579166,.1333749287912151,.1333749287912151,.3435533915557374,.0029965150999659,.0029965150999659
